,module_color,kME_in_own_module,kWithin
Gene.230,darkgreen,0.7874119834946846,7.5633664695451275
Gene.231,darkgreen,0.9344143268946261,6.324534401634121
Gene.232,blue,0.18610022697749912,0.3532253435435058
Gene.233,darkgreen,0.9110362517993059,24.634967395957137
Gene.234,grey,-0.8753131488130601,0.06394035432560662
Gene.235,blue,0.8643666735423369,19.175798664060423
Gene.236,darkgreen,0.8005206817886922,6.61183284783405
Gene.237,darkmagenta,0.8386255518403172,1.163157486361613
Gene.238,darkgreen,0.6767876251568749,3.757725056272798
Gene.239,black,0.7075082419971066,6.722997756701256
Gene.240,darkgreen,0.9011087574554658,18.3525777699611
Gene.241,black,0.731920391118913,6.494997030079759
Gene.242,blue,0.8755304774121694,28.62136703959667
Gene.243,blue,0.9243197695792321,8.814500310160371
Gene.244,darkmagenta,0.9535484294033659,18.41784893997584
Gene.245,black,0.8441027662249422,1.6595064790668357
Gene.246,blue,0.890247767608608,0.5339984551921557
Gene.247,darkmagenta,0.886683764959056,16.626243223088732
Gene.248,darkmagenta,0.5402085464379296,2.7709334602804216
Gene.249,blue,0.9515790711288851,9.806378147922912
Gene.250,grey,0.2366389412697142,0.0415215246988295
Gene.251,darkgreen,0.8544982565784713,2.5516354729529165
Gene.252,blue,0.3833405023840055,0.36357171265620447
Gene.253,blue,0.9702988810664148,13.192789664941353
Gene.254,blue,0.9894890317971098,3.0281306629210807
Gene.255,blue,0.920568816973946,29.231490739849978
Gene.256,darkgreen,0.9130690794891558,6.021834607063146
Gene.257,black,0.5911875689075645,0.29293191057158
Gene.258,blue,0.8973310645613524,1.9740769466850008
Gene.259,blue,0.9048131348327879,13.392103897564436
Gene.260,darkmagenta,0.8009778777334927,5.140617407275768
Gene.261,darkmagenta,0.8447289165712324,2.65221920528299
Gene.262,darkmagenta,0.8149461971825948,11.809730170792362
Gene.263,black,0.835402803703989,10.380616773736199
Gene.264,grey,0.8860171254930941,0.014836065510633952
Gene.265,darkolivegreen,0.849049972623195,0.932373727577024
Gene.266,darkmagenta,0.8851811770347109,6.008678389755321
Gene.267,darkgreen,0.9177478024635055,14.860900609624565
Gene.268,blue,0.10093921503059804,0.09959000513854134
Gene.269,darkgreen,0.7158949075148526,1.0551373069475263
Gene.270,darkmagenta,0.8536552467776648,2.439025156849682
Gene.271,darkgreen,0.9343852257132274,6.814933278450699
Gene.272,darkgreen,0.8547700911226858,6.319900975750664
Gene.273,grey,-0.968366513110397,0.0393949585517797
Gene.274,darkgreen,0.6352252027539045,5.195245798995549
Gene.275,black,0.8796272449731077,3.587788589457201
Gene.276,black,0.7223011823974111,3.5656667224971557
Gene.277,darkmagenta,0.7281503617297336,0.5145467386777014
Gene.278,darkmagenta,0.8520998697162355,13.726054196756957
Gene.279,black,0.7575622191314724,6.683184466499744
Gene.280,blue,0.3980429229289868,0.5708384720490033
Gene.281,darkgreen,0.85099146937221,6.116574665398674
Gene.282,blue,0.8851337533008962,20.67875781898381
Gene.283,darkgreen,0.9753691932432783,0.7667526956810063
Gene.284,darkgreen,0.8262207638046467,0.18351070641685271
Gene.285,blue,0.9007151903561356,8.619109467854011
Gene.286,blue,0.9383979442948427,4.38691501063562
Gene.287,black,0.8697847961040005,3.4050345366389636
Gene.288,grey,-0.9266960048874123,0.006902311628003952
Gene.289,darkmagenta,0.9071721419824491,2.372345231484499
Gene.290,black,0.8657439063575489,3.2141972912259082
Gene.291,grey,-0.9365339386666014,0.2097002680772899
Gene.292,grey,-0.970491836712287,0.10963259387071163
Gene.293,darkgreen,0.7673495700967841,9.993295663468524
Gene.294,grey,0.15299820336435743,0.0665753731938385
Gene.295,darkmagenta,0.681892089905501,2.1017204740167883
Gene.296,blue,0.7200130902565686,3.4411089273811464
Gene.297,darkmagenta,0.9511940721366946,19.39790099329869
Gene.298,darkmagenta,0.6987890626169345,0.44647031867681025
Gene.299,grey,-0.8068798389875221,0.0017595752044083255
Gene.300,black,0.49694598129822504,0.5981832681389215
Gene.301,grey,-0.45798180167915714,0.0023831296930227996
Gene.302,black,0.7587779047916431,1.4294726508742281
Gene.303,grey,0.990669547028179,0.011419694690589273
Gene.304,darkgreen,0.637686405943945,1.9592968653321603
Gene.305,grey,0.9240970262778432,0.0017442965637510547
Gene.306,black,0.5468047401289374,1.2388539792441644
Gene.307,blue,0.802976030343869,6.186205199822757
Gene.308,darkmagenta,0.8889580964439993,10.161733810155358
Gene.309,blue,0.9619342628395228,31.515794312326122
Gene.310,darkmagenta,0.9692748533658337,3.1079760318092418
Gene.311,darkmagenta,0.8795124618613028,0.2838077210587395
Gene.312,black,0.833037515755992,18.42066788199576
Gene.313,grey,-0.8686238782270054,0.0013900596857798794
Gene.314,black,0.8080190681718405,7.945768476738798
Gene.315,grey,-0.9392453021082994,0.4126805159781281
Gene.316,grey,0.8975555533647859,0.001188016592360411
Gene.317,darkmagenta,0.9332076583365203,0.43293463049344466
Gene.318,blue,0.9070917958449765,23.34133251853539
Gene.319,black,0.5356726177696806,1.3489197438844533
Gene.320,black,0.8669751827597099,5.043595665601801
Gene.321,black,0.7101552279746471,1.2711272179129212
Gene.322,darkgreen,0.9157336925318666,4.9493658418605255
Gene.323,blue,0.935366869942242,30.25468907575817
Gene.324,blue,0.864289251743752,7.199911486754358
Gene.325,black,0.534765708723207,0.6162381951285512
Gene.326,grey,-0.14587970692179694,0.002243511839962949
Gene.327,darkgreen,0.7425708008872323,1.555908732764014
