,module_color,kME_in_own_module,kWithin
Gene.264,antiquewhite4,0.8499110647232092,5.2702673281363746
Gene.265,black,0.6753164261620953,11.975214143164111
Gene.266,black,0.8688109205848048,1.6593430584784827
Gene.267,grey,-0.9479262535789493,0.06792684436316655
Gene.268,coral1,0.5416909469386001,0.05793768345444349
Gene.269,black,0.8024603703125707,0.5188537579980554
Gene.270,black,0.9366890584487587,15.937602002233048
Gene.271,brown,0.9398667197082748,1.0072156677031474
Gene.272,black,0.8388643372868101,16.216475195058862
Gene.273,antiquewhite4,0.4414765447932985,0.2756725805363221
Gene.274,brown,0.9002043124864708,22.77103516531504
Gene.275,antiquewhite4,0.8369918612434898,4.471449173285254
Gene.276,black,0.8370002042839522,21.818757468938987
Gene.277,black,0.45954036136684956,12.151415632436466
Gene.278,brown,0.9532375854745668,36.07392349957008
Gene.279,antiquewhite4,0.8203100995757804,2.6742078021943345
Gene.280,black,0.8518825085114904,1.6147761405576853
Gene.281,antiquewhite4,0.6743953201595315,2.361775039417437
Gene.282,antiquewhite4,0.921757177244383,1.6464588819352257
Gene.283,brown,0.6713404235256127,5.782485584788072
Gene.284,antiquewhite4,0.7905409810420753,2.634643023477893
Gene.285,brown,0.8765380924663102,27.38751378797144
Gene.286,antiquewhite4,0.8962680971194715,11.154736824948623
Gene.287,black,0.8869797090688014,28.69887631262526
Gene.288,black,0.7923790275527682,7.132435022586003
Gene.289,brown,0.9594389896450529,1.432541920549605
Gene.290,brown,0.7743700241388005,22.482942374984965
Gene.291,brown,0.5664208393519349,9.848311952386242
Gene.292,black,0.9318631842625819,2.6502158392015107
Gene.293,black,0.8868256343591917,32.26084734630325
Gene.294,brown,0.8035539738353106,16.96071085301065
Gene.295,antiquewhite4,0.8230600030463421,4.895227160371091
Gene.296,black,0.6693971808454559,10.002899621823582
Gene.297,black,0.5107977598058124,9.78984506737764
Gene.298,black,0.9618971396200688,4.684417228395657
Gene.299,antiquewhite4,0.7264742129478352,4.804336424092179
Gene.300,black,0.4951787857052409,9.19575369404601
Gene.301,brown,0.8958210999335078,15.399319495752254
Gene.302,brown,0.8461282439072928,26.380639847970983
Gene.303,brown,0.9586039584158095,0.7316395391239695
Gene.304,grey,0.9742296743206628,0.01663036284257886
Gene.305,brown,0.8736398565804574,30.696526455095544
Gene.306,black,0.7759208985200062,2.211064018099096
Gene.307,black,0.6855752253466687,2.9835437777056506
Gene.308,antiquewhite4,0.7926655172604172,12.255589571629438
Gene.309,brown,0.9213406957398567,16.596707864621056
Gene.310,grey,-0.9589325927844097,0.049088595037379876
Gene.311,brown,0.7553774354610581,20.700428234801326
Gene.312,brown,0.8619470519193099,4.836847731638728
Gene.313,black,0.5975518773925703,16.203188889500407
Gene.314,brown,0.9564332515854252,35.44856429419981
Gene.315,brown,0.9803829926029112,26.116414851776433
Gene.316,antiquewhite4,0.8672124190638069,6.775513782870289
Gene.317,brown,0.9559813473886817,41.899880481166434
Gene.318,brown,0.9761309451273663,1.4358728401992007
Gene.319,brown,0.9657571079070674,37.743850958040106
Gene.320,brown,0.9876304250561818,36.139801698360486
Gene.321,brown,0.8020853271982759,21.681200277389642
Gene.322,black,0.6592375265585428,3.947674456816056
Gene.323,black,0.8392769775381569,17.145569734697908
Gene.324,black,0.9338225339946716,14.616860877904578
Gene.325,brown,0.7483135505970521,20.790252654221757
Gene.326,black,0.6055846662710272,5.5548108435371555
Gene.327,brown,0.6934345123138624,0.18082038080130672
Gene.328,black,0.9054689858077617,19.046883291862926
Gene.329,antiquewhite4,0.7338274267661705,7.235295117738074
Gene.330,brown,0.9589023892075451,46.69357405160465
Gene.331,brown,0.8710909633114516,25.592298413378522
Gene.332,antiquewhite4,0.6684977512480745,3.9910192767381236
Gene.333,black,0.4426509459923458,4.21773165473
Gene.334,black,0.7658688207546831,19.99027281584699
Gene.335,antiquewhite4,0.9548959704462548,2.7728803902839876
Gene.336,grey,0.981877419065883,0.004115834664981913
Gene.337,black,0.9724249629646012,0.3913452391652966
