,module_color,kME_in_own_module,kWithin
Gene.42,turquoise,0.941836402121603,171.41279868157017
Gene.43,red,0.4040382425959767,12.956363144026085
Gene.44,yellow,0.8950134641596483,136.88010965885283
Gene.45,blue,0.9235979614155911,129.27901971277166
Gene.46,blue,0.8384108560638978,163.59118296976806
Gene.47,blue,0.9379944436704155,117.35258984016558
Gene.48,yellow,0.8533050907989637,149.51371895726962
Gene.49,blue,0.6112227526129552,124.39294922401274
Gene.50,blue,0.7926898962521965,137.73867641544422
Gene.51,yellow,0.7836716193546964,127.0619532317535
Gene.52,turquoise,0.7023872328307172,159.5945277642427
Gene.53,brown,0.9510453034360827,151.12737759007982
Gene.54,blue,0.8440722597393485,155.57337484744008
Gene.55,blue,0.711241867947715,143.86141967621555
Gene.56,turquoise,0.9087083963369652,110.56466994114695
Gene.57,yellow,0.9031066868795445,152.41406738707298
Gene.58,turquoise,0.2607433978745963,112.92860273316269
Gene.59,yellow,0.8800507596950564,75.46118429431269
Gene.60,turquoise,0.955025349351891,176.15650556067322
Gene.61,blue,0.8249494562637542,149.37370098860296
Gene.62,brown,0.9176964532699518,99.75592604577797
Gene.63,black,0.7765033011461115,7.142223672408867
Gene.64,brown,0.5065776761970239,149.3044661383759
Gene.65,yellow,0.8100152051119128,79.60145367043845
Gene.66,brown,0.7932266733298108,162.71621574774824
Gene.67,turquoise,0.7000234528507273,160.86507155974724
Gene.68,turquoise,0.9152602672312261,110.34407881467932
Gene.69,turquoise,0.3684936280873786,110.6068505449053
Gene.70,blue,0.9696058797526925,132.92076349241668
Gene.71,turquoise,0.919153952937823,116.54635637545566
Gene.72,blue,0.9362235270001722,101.75575641522896
Gene.73,brown,0.9369559694028242,173.2139662215686
Gene.74,brown,-0.6871614216366483,84.53735791971673
Gene.75,brown,0.936903110683053,101.66774341209236
Gene.76,brown,0.8856305144312008,178.94344946524853
Gene.77,yellow,0.7220386699744957,131.67766325502214
Gene.78,brown,0.39205096584871124,105.53829308765341
Gene.79,brown,0.3119438049807777,98.06299317388081
Gene.80,brown,0.8227561241647529,154.10043463837712
Gene.81,black,0.6778828246422605,9.717019806943515
Gene.82,yellow,0.7099983446293329,141.5261480681707
Gene.83,blue,0.8216537572346311,133.3586708219385
Gene.84,blue,0.90208107142944,153.86962534845247
Gene.85,red,0.8568962187141456,18.94098773244416
Gene.86,brown,0.9519387629925556,171.94843180505922
Gene.87,turquoise,0.8514228445592894,156.40688204042615
Gene.88,black,0.6220595471015389,8.667726273728828
Gene.89,blue,0.9259475289344775,99.32784708456829
Gene.90,blue,0.6515089834278174,143.97349575661596
Gene.91,black,0.5286266437007037,8.828343451265342
Gene.92,blue,0.6843252889314507,143.36591441177038
Gene.93,yellow,0.6695125235719738,130.43481506951673
Gene.94,yellow,0.7228094673287552,132.76811954809133
Gene.95,yellow,0.9225700996864784,142.08199763484768
